0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
|__STATES,|__DISTRICTS,|__AWARENESS_OF_RTISTI_AND_HIVAIDS_percent_-_WOMEN_WHO_HAVE_HEARD_OF_RTISTI,|__AWARENESS_OF_RTISTI_AND_HIVAIDS_percent_-_WOMEN_WHO_HAVE_HEARD_OF_HIVAIDS,|__AWARENESS_OF_RTISTI_AND_HIVAIDS_percent_-_WOMEN_WHO_HAVE_ANY_SYMPTOMS_OF_RTISTI,|__AWARENESS_OF_RTISTI_AND_HIVAIDS_percent_-_WOMEN_WHO_KNOW_THE_PLACE_TO_GO_FOR_TESTING_OF_HIVAIDS12,|__AWARENESS_OF_RTISTI_AND_HIVAIDS_percent_-_WOMEN_UNDERWENT_TEST_FOR_DETECTING_HIVAIDS12,|__CHARACTERISTICS_OF_WOMEN_percent_-_CURRENTLY_MARRIED_WOMEN_WHO_ARE_ILLITERATE,|__CHARACTERISTICS_OF_WOMEN_percent_-_CURRENTLY_MARRIED_WOMEN_WITH_10_OR_MORE_YEARS_OF_SCHOOLING,|__MARRIAGE_-_MEAN_AGE_AT_MARRIAGE_FOR_GIRLS_MARRIAGES_THAT_OCCURRED_DURING_THE_REFERENCE_PERIOD,|__MARRIAGE_-_MEAN_AGE_AT_MARRIAGE_FOR_BOYS_MARRIAGES_THAT_OCCURRED_DURING_THE_REFERENCE_PERIOD,|__MARRIAGE_-_PERCENTAGE_OF_CURRENTLY_MARRIED_WOMEN_MARRIED_BELOW_AGE_18_YEARS_MARRIAGES_THAT_OCCURRED_DURING_THE_REFERENCE_PERIOD,|__MARRIAGE_-_PERCENTAGE_OF_CURRENTLY_MARRIED_MEN_MARRIED_BELOW_AGE_21_YEARS_MARRIAGES_THAT_OCCURRED_DURING_THE_REFERENCE_PERIOD,|__UTILIZATION_OF_GOVERNMENT_HEALTH_SERVICES_percent_-_ANTENATAL_CARE,|__UTILIZATION_OF_GOVERNMENT_HEALTH_SERVICES_percent_-_TREATMENT_FOR_PREGNANCY_COMPLICATIONS,|__UTILIZATION_OF_GOVERNMENT_HEALTH_SERVICES_percent_-_TREATMENT_FOR_POST-DELIVERY_COMPLICATIONS,|__UTILIZATION_OF_GOVERNMENT_HEALTH_SERVICES_percent_-_TREATMENT_FOR_CHILDREN_WITH_DIARRHOEA13,|__UTILIZATION_OF_GOVERNMENT_HEALTH_SERVICES_percent_-_TREATMENT_FOR_CHILDREN_WITH_ARI13,|__PERCENTAGE_OF_PREGNANCY_RESULTED_IN_-_LIVE_BIRTH,|__PERCENTAGE_OF_PREGNANCY_RESULTED_IN_-_STILL_BIRTH,|__PERCENTAGE_OF_PREGNANCY_RESULTED_IN_-_INDUCED_ABORTION,|__PERCENTAGE_OF_PREGNANCY_RESULTED_IN_-_SPONTANEOUS_ABORTION,|__PERCENTAGE_OF_HOUSEHOLDS_-_HAVING_ELECTRICITY,|__PERCENTAGE_OF_HOUSEHOLDS_-_IMPROVED_SOURCE_OF_DRINKING_WATER1,|__PERCENTAGE_OF_HOUSEHOLDS_-_HAVING_ACCESS_TO_IMPROVED_TOILET_FACILITY,|__PERCENTAGE_OF_HOUSEHOLDS_-_USE_CLEAN_FUEL_FOR_COOKING2
Andaman and Nicobar Islands,North & Middle Andamans,6.9,61,11.8,40.9,30.9,12.5,37,20,27.4,19.6,4.2,100,100,100,100,100,97.5,1,0.5,1,92.5,92.9,49,29.3
Andaman and Nicobar Islands,South Andaman,6.1,74.4,28.1,73.2,44.7,8.9,59.8,21.1,24.5,5.1,4.1,93.9,85.5,76.9,40,83.3,95.9,0.5,0.5,3.2,97.8,94.7,87.9,69.7
Andaman and Nicobar Islands,Nicobars,8,56.8,9.5,62.2,37.2,21.6,40,22.5,25.7,7.7,5.3,100,100,100,100,100,97.7,1.7,0,0.6,97.1,73.7,98,37.2
Andhra Pradesh,Srikakulam,9.7,69,4.6,33.7,28.8,37.7,38,21.1,26.3,4.3,8,45.1,23.5,30.8,42.9,36.4,96.9,0.8,0,2.4,98.8,84.7,53.6,51.5
Andhra Pradesh,Vizianagaram,22.7,77.5,10.4,66.7,43.7,41.4,31.4,20.07,25.14,11.4,9,63,68.3,59.4,50,26.1,99.1,0,0,0.9,98.4,97.5,45.5,60.4
Andhra Pradesh,Visakhapatnam,21.3,80.8,15.6,59.8,39.2,45.5,34.2,20.1,25,17.8,13.4,64.7,56,51.7,66.7,53.3,98.4,0.5,0.2,0.9,96.2,95.7,57.4,56.7
Andhra Pradesh,East Godavari,31.4,90.9,5.9,68.8,50.5,42.6,34.2,20.4,24.4,12.7,18.1,50.1,28.6,41.5,50,16.7,98.6,0.6,0,0.8,98.6,98.9,66.4,57.1
Andhra Pradesh,West Godavari,27.5,77.2,90.4,62.9,43.5,36.9,29.1,19.6,22.9,14.7,14.6,51.1,49.3,50,75,54.5,95.9,1.2,1.8,1.2,99.2,99.2,79.4,67.8
Andhra Pradesh,Krishna,28.9,84.4,18.6,67.5,45,38.5,35.8,19.3,23.2,14,11,45.6,39.7,38.1,81.8,88.2,100,0,0,0,98.9,97.8,75.2,74
Andhra Pradesh,Guntur,16.4,87.1,6.3,64.3,45,51.6,23.1,19.3,23.5,22.1,15.7,37.5,27.9,50,44.4,14.3,96.7,0.9,0.2,2.2,99.1,97.6,68.9,68.1
Andhra Pradesh,Prakasam,18.7,90,10.2,62.9,46.2,43.6,30.9,20.4,24.4,14.3,10.8,26.3,37.5,61.1,66.7,57.1,98.5,0,0.9,0.6,99.2,99,70.3,73.9
Andhra Pradesh,Nellore,15.6,81.9,12.8,70,48.8,34.4,29.8,20.3,24.2,14.4,14.4,28.4,27.2,26.3,25,11.8,96.9,0.7,1.1,1.3,98.1,99.1,53,50
Andhra Pradesh,Cuddapah,17.3,80,5.1,67.1,44.2,49.3,25.8,19.7,24.6,17.5,13.2,22,12.7,23.3,50,57.1,93.7,1,0.7,4.7,99.3,99.7,57.6,58.9
Andhra Pradesh,Kurnool,9.3,59.4,5.9,47.9,35.8,58.5,19.4,19.6,23.5,19.5,21.7,45,25.3,30.4,19,16.7,97,0.5,0.5,1.9,99.3,97.9,50.6,46.2
Andhra Pradesh,Anantapur,23.3,71,7.8,58.6,45.5,49.3,26.7,25.1,19.4,19.4,10.4,55.2,45.9,31.3,70,50,96.7,1,1,1.4,99.2,98.6,51.2,50.6
Andhra Pradesh,Chittoor,30.1,73.7,9.7,61.2,58.1,36.5,39.2,21.3,26.2,8.3,9.4,64.1,50,39.3,72.7,38.9,98.4,0,0.5,1.2,98.8,99.7,52.2,59.8
Arunachal Pradesh,Tawang,14.5,66.4,10.3,39,12.5,67.3,12,23,24.8,3.1,8.1,96.9,92.9,81.8,0,0,96.9,0.8,0.6,1.7,97.9,95,58,36.5
Arunachal Pradesh,West Kameng,11.6,64,15.6,44.7,24.5,48.1,19.5,21.2,24.2,11.3,21.8,94.9,90.9,64.3,0,0,95.5,0.5,2,2,95.4,94.9,65,50.5
Arunachal Pradesh,East Kameng,19.5,78.4,21,41.3,10.6,58.3,15.5,19.8,24.6,26.5,27.8,87.4,100,66.7,0,0,99,0,0.5,0.5,46.2,96,56.1,33.1
Arunachal Pradesh,Papumpare,33.6,86.9,18.8,52.1,28.3,31.2,37.9,21.5,24.1,15.6,25.9,74.1,69.8,75,0,0,96.9,0.6,1.9,0.6,98.4,91.2,80.8,71.1
Arunachal Pradesh,Lower Subansiri,13.9,81.2,24.6,60.6,25.4,35.3,27.8,22,24.5,7.4,15.6,83.6,82.3,73.5,0,0,98.2,0.7,0.9,0.2,99.3,97.1,76.3,32.9
Arunachal Pradesh,Upper Subansiri,12.4,67.4,14.6,41.8,12.9,42.8,15.5,19.3,23.6,23,30.8,90.5,75.7,60,0,0,95.2,0.8,1.6,2.4,80.2,85.3,50.6,29.2
Arunachal Pradesh,West Siang,18.3,76.5,17.6,47.2,27.9,33.6,19.7,23,25.7,6.5,18.5,90.1,81.4,73.3,0,0,97,0.7,0.9,1.4,94.7,96.5,76.6,34.7
Arunachal Pradesh,East Siang,21.5,80,16.9,51.2,21.7,32.4,29.3,22.1,25.2,10.8,22.7,93.1,90,90,0,0,98.5,0.3,0.9,0.3,96.2,94,69.7,31.1
Arunachal Pradesh,Upper Siang,21.6,60.6,9.9,29,8.9,52.4,13.2,22.4,25.9,24,5,96.9,100,100,0,0,98.3,0.9,0.3,0.6,80,96.3,53.3,9.6
Arunachal Pradesh,Dibang Valley,16.3,77.8,18.9,43.4,15.5,48.9,18.5,22.4,25.5,5.7,11.7,97.6,85.2,78.6,0,0,99.2,0.4,0,0.4,96,97.7,60.8,19.3
Arunachal Pradesh,Lohit,10,66.2,24.1,50.2,20.1,45.1,20.6,20.8,24.5,23.8,18.8,95.1,93.8,64.9,0,0,92.3,1.5,3.6,2.6,72.8,94.3,66.9,27.3
Arunachal Pradesh,Changlang,7.7,48.6,20.5,41.7,15.5,53.1,16.1,20.3,23.7,25.3,22.5,93.2,94.7,76.2,0,0,98.5,0.4,0,1.1,70,78,75.7,28.7
Arunachal Pradesh,Tirap,13,65.1,31.1,64.2,23.7,53.4,16.6,21.9,24.9,2.5,13,90.6,77.2,75,0,0,95.2,1.2,1.8,1.8,79,58.2,49.5,19.2
Arunachal Pradesh,Kurung Kumey,6.1,61.4,12.1,25.3,13.9,65.1,6.9,20.4,24.3,11.9,19.6,73.2,63.6,100,0,0,99.5,0.3,0.3,0,85.5,84.2,38.1,14.6
Arunachal Pradesh,Lower Dibang Valley,22,74.1,28.1,45.2,13.6,50.8,20.6,21.6,24.1,20,15.1,95.5,84.2,84.4,0,0,95.9,1.9,0,2.2,69.8,96.2,58.3,34.6
Arunachal Pradesh,Anjaw,3.8,41.4,16.9,37.6,19.7,66,10.7,19.4,23.3,15.9,30.3,89.8,76.5,100,0,0,97.8,1.7,0.6,0,73.6,92.3,30.4,12.1
Goa,North Goa,9.6,85.5,8,74.5,44.6,6.4,56.8,25.2,30.1,0,1.6,66.7,50,37.5,40,60,97.5,0.3,0,2.2,98,93.9,87.5,84.9
Goa,South Goa,15.3,79,4.8,63.8,55.4,13.3,59.2,25.8,29.2,0,2.2,49.5,27.3,38.5,100,33.3,92.9,0.3,1.4,5.4,99.7,98.8,86.6,81.3
Haryana,Panchukala,55.3,81.2,7.2,43.5,17.4,18.2,56.7,22.5,26,0,8.7,80.4,70.5,69.4,40,63.6,93.1,0.3,1,5.6,98.9,99.7,89.8,77.7
Haryana,Ambala ,24,56.1,4.4,30,9.1,21.4,44.6,21.9,24.5,0.8,6.1,76.4,51.7,66.7,100,100,96.4,0.4,1.3,1.8,99.2,99.6,84.9,64.8
Haryana,Yamunanagar,10.8,52.1,10.4,41.5,17.5,30.1,34.3,21.5,24,2.8,13.9,59.1,31.9,37.8,20,5.6,94.1,1.5,1.2,3.3,98.6,99.6,73.9,51.7
Haryana,Kuruksherta,17.1,54.1,6.2,37.5,13.4,33.7,36.1,21.9,24.5,1.3,10.3,52.1,36.4,28.1,44.4,33.3,92.7,1.4,0.3,5.6,99.6,99.8,75.7,61.6
Haryana,kaithal,42.9,66.6,9.5,49.6,28.3,36.2,30.6,21.2,24.1,4.3,17.5,78.9,44.7,44,0,40.7,91.2,2,1.1,5.6,91.9,99.6,75.7,39.7
Haryana,Karnal,8.6,52,11.5,35.2,12.1,35.8,31.6,20.9,23.3,4.5,17.5,51.6,44,37.2,26.5,31.3,90.6,2.1,2.1,5.2,99.5,99.6,83.4,56.4
Haryana,Panipat,6.9,50.5,21.8,31,8,34.3,36.4,20.7,23.5,11.2,19.9,28.5,15.2,16.7,13.3,14.3,90.5,1.4,1.2,6.9,98.2,98.3,84.2,60.7
